评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2133692514,关-注,男,其他,2657,411,180933,最近大家关注的焦点全都聚集到了北京疫情，我们有经验，有资源，有信心，所以行动起来速度快，效率高。但是有人似乎不想看到这一幕，他们更希望看到疫情不受控，最好能折腾出来个全国范围的第二波；更希望看见有人不配合防疫，想证明“我欧美爸爸虽差，你中国也好不到哪里去”的情况，绝对不可能发生。,347,2020-06-15 15:52
https://weibo.cn//u/5376569559,偷心小天使,女,其他,16,104,28,求求出台政策，机票免额退吧,186,2020-06-15 15:56
https://weibo.cn//u/5711303744,今天也是搞马的一天,女,四川,231,93,68,回复@微光倾城1203:这种势头 毕业年级也得停,0,2020-06-17 11:58
https://weibo.cn//u/7330523206,东龙双鱼08715,男,其他,6,102,6,感觉一到这时候，港独台独就会出来引导舆论，制造话题和矛盾，（今年尼日利亚问题就是被台独有预谋搞起来的），他们不关心咱们疫情，只关心自己的利益，脑残,0,2020-06-17 10:24
https://weibo.cn//u/5140809237,戕生,女,安徽,4,392,98,回复@东龙双鱼08715:我也很怀疑...,0,2020-06-17 10:16
https://weibo.cn//u/6567732062,噜啦啦小朋友爱美丽,女,其他,17,104,7,身在河北省的我，我也想自己管好自己不给国家添麻烦，但是没办法，过两天我就要去保定进行我的专接本考试了，据说，保定，也有几例了 ，不过还没死人呢，我们河北省能抗，这次河北省也要出头一次了,1,2020-06-17 10:15
https://weibo.cn//u/7330523206,东龙双鱼08715,男,其他,6,102,6,回复@戕生:是不是港独台独冒充？感觉中国大陆的都挺好的，很少有这样脑残的,0,2020-06-17 10:13
https://weibo.cn//u/7330523206,东龙双鱼08715,男,其他,6,102,6,回复@我滴爸爸:完全同意，所以脑残天天有，疫情特别多,0,2020-06-17 10:11
https://weibo.cn//u/6455311643,加油民族工业,男,北京,2389,404,77,回复@没事儿叉会腰:这样还不如让你得病，那不能,0,2020-06-16 19:15
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6519940878,樊秋冬,男,其他,86,315,339,这和官员没关系吧,2713,2020-06-15 06:46
https://weibo.cn//u/5624124602,一个闪现送走自己,男,河南,198,88,429,哎，防不胜防，感觉挺委屈的,2045,2020-06-15 06:47
https://weibo.cn//u/6995552443,听说今年有偏财运,男,上海,1117,151,256,微博太多人睁眼瞎，带节奏！请注意这句话“在疫情防控工作中存在落实“四方责任”不到位、“四早”要求不力、消杀工作不到位等问题。”，免职决不是因为发生了疫情，而是不落实，造成极大隐患。,1864,2020-06-15 06:53
https://weibo.cn//u/5852527850,墨尔本烤猪,男,其他,5,22,49,回复@为什么带我的九筒:转基因咋了？不会还有人在魔化转基因吧？来我问问你啥叫质粒？,0,2020-08-18 01:06
https://weibo.cn//u/1684631275,霍营儿萝拉,男,北京,2470,27,96,地方官，父母官，想想你身边曾经倒下的战友，他们应该授什么衔,0,2020-07-19 23:07
https://weibo.cn//u/5399336619,毁心QuQ,女,北京,133,291,79,懂得都懂,0,2020-06-26 21:30
https://weibo.cn//u/5861207649,真诚的娟子-809,女,广东,113,110,78,官员也是人，过度的追责只会逼基层造假和不敢发声,0,2020-06-24 18:07
https://weibo.cn//u/6431328801,夜刀神八幡,男,四川,38,56,14,有错不罚，那以后都别执行中央指示了，反正松点也没事。真的不知道这下面评论怎么想的，斯德哥尔摩？,0,2020-06-20 19:19
https://weibo.cn//u/5528458602,小太阳121385,男,山东,884,85,98,回复@我是文艺青年123:你不愿意干有的是人愿意干，你要是不愿意那你可以靠边站。,0,2020-06-19 16:20
https://weibo.cn//u/2264541405,倾涟沐葳Vivi,女,山西,2276,602,5671,回复@赤井鱼丸:哎，主要是国家也没办法给百姓一个交代，总得有个办法，不然以后很多人都认为出了事也没后果,0,2020-06-19 14:02
