评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1787311333,锦鲤啾啾酱,女,广西,2971,621,571184,热干面熬过去了 豚骨拉面熬过去了 意大利面熬过去了 烤冷面也熬过去了 相信炸酱面也熬得过去,9946,2020-06-15 09:51
https://weibo.cn//u/6995814498,公益养老史话,男,北京,843,1001,593,新发地四大教训：1、下调二级后，过早开放地下交易场所。2、摊位布置过于密集。3、开放市民个人零售交易且未做限流管控。4、对内对外防控措施要求完全流于形式。反思新发地的问题，北京市在复工复业中没有针对大型集贸场所作出专门的防控指导和应急安排，是一个被严重疏忽了的薄弱环节，这是个大教训。,3689,2020-06-15 10:00
https://weibo.cn//u/3675756800,Otatu,女,其他,911,746,519,拜托照顾照顾医护人员 安排点避暑的东西 他们太辛苦了！,1710,2020-06-15 09:53
https://weibo.cn//u/2697620087,青楼丨旋律,男,江苏,58,416,130,。,0,2020-06-16 10:17
https://weibo.cn//u/6330290432,深圳发丝富养发馆,女,广东,653,44,8,小心,0,2020-06-16 10:17
https://weibo.cn//u/5346446519,Lee天道酬勤,女,山西,331,543,162,祈祷,0,2020-06-16 10:17
https://weibo.cn//u/1946589042,中天186,男,江西,4816,2519,148,嗯,0,2020-06-16 10:17
https://weibo.cn//u/5863099632,说是可乐要加冰,女,北京,2875,1311,10640,好,0,2020-06-16 10:17
https://weibo.cn//u/2142239353,风过海之南,男,广东,0,2,104,一定要重视,0,2020-06-16 10:17
https://weibo.cn//u/3146824622,不坚强软弱给O谁看,女,广东,667,743,86,刀,0,2020-06-16 10:16
https://weibo.cn//u/7304406754,米米米丶修,女,其他,1070,1568,13,     举报             赞[0]         回复             2020-06-16 10:16:48 来自网页,0,2020-06-16 10:16
https://weibo.cn//u/5100725170,仟佰宠公主家木木1,女,其他,162,25,152,北京人民能过平安,0,2020-06-16 10:16
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6219406436,东南风-日栎同辉,女,其他,10972,236,11797,？越短的新闻越可怕,18723,2020-06-13 11:18
https://weibo.cn//u/5607397698,踏破空壳,男,山西,520,272,288,我格局小，就是怀疑敌对势力放毒,15191,2020-06-13 11:20
https://weibo.cn//u/5609712145,眷恋星海,女,其他,9217,381,49,我滴妈,5292,2020-06-13 11:18
https://weibo.cn//u/1751856182,2021年好运常相伴,男,山东,8209,5634,177,还尼玛进口，作吧,0,2021-01-06 22:24
https://weibo.cn//u/1826338281,小吴爱睡觉-,女,北京,1567,312,464,回复@盆盆和团团:吓得我以为我们单位边上又开始了,0,2020-12-25 07:20
https://weibo.cn//u/2928861943,盆盆和团团,女,其他,161,139,192,回复@小吴爱睡觉-:好家伙,0,2020-12-25 04:56
https://weibo.cn//u/1826338281,小吴爱睡觉-,女,北京,1567,312,464,回复@盆盆和团团:,0,2020-12-22 23:41
https://weibo.cn//u/3159759535,明年才能改泥称,女,其他,353,408,70,回复@温暖太深Lee:合着这底下杠的人时时刻刻都守在电视机前看新闻联播？热搜本来就是最快捷最直观的消息传播途径，有什么杠的........,0,2020-12-14 14:01
https://weibo.cn//u/2629184583,最后一任55,女,其他,1418,326,1441,😱😱😱揪心！,0,2020-12-03 16:28
https://weibo.cn//u/2369230170,你说我是小可爱吗,女,海外,423,294,104,回复@gaiyinzhang:瑟瑟发抖,0,2020-07-26 22:18
https://weibo.cn//u/3973591006,imsiyu,女,其他,165,266,152,回复@flyewords08678:爱吃三文鱼怎么了？？？,0,2020-07-18 15:57
https://weibo.cn//u/2171280125,快乐过好每一天1991,男,山东,253,97,59,回复@世界级的小糖豆:没有传染源我国也会挺过去的啊，只要全球归零就过了,0,2020-06-30 20:35
https://weibo.cn//u/2171280125,快乐过好每一天1991,男,山东,253,97,59,回复@USA之父华盛顿:对的,0,2020-06-30 20:35
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6373141466,HYH吴情,女,湖北,6981,348,447,所有进口食品，必须进行病毒检测 不放松警惕，别过分恐慌，加强防护意识，及时溯源排查！,2368,2020-06-13 10:57
https://weibo.cn//278337725,哎哟哎哟我的脑壳儿哟,女,北京,6114,280,481,所以，出入京还要不要隔离,1010,2020-06-13 10:58
https://weibo.cn//u/5070829668,V_eronica金金金泰映,女,其他,123,56,30,我已经跑了两家医院了，一个周末不检测，一个不给去过新发地的人检测,650,2020-06-13 10:59
https://weibo.cn//u/5052866364,慢慢喜欢你z,女,陕西,161,207,281,回复@小澎湃的澎湃:哈哈北京早都好了，他也早都回来了，回来快一个月啦,0,2020-07-29 14:51
https://weibo.cn//u/5180446255,李悦0922,女,内蒙古,106,104,172,回复@馥气歆质:同问,0,2020-07-18 12:36
https://weibo.cn//u/6104240132,不充会员可不可以改名,女,北京,1354,220,387,回复@V_eronica金金金泰映:你他妈跑的你的海外医院吧，现在北京的告诉大家，他满嘴跑火车,0,2020-07-16 09:24
https://weibo.cn//u/7315057089,喵个咪686,女,辽宁,306,65,11,回复@自由云来去:可不是呗，也不看看为啥武汉最安全，全国都忙乎你们，你们在不安全可真就说不过去了,0,2020-07-14 13:54
https://weibo.cn//u/2101451281,冰糖洋芋奶,女,上海,218,237,463,@Sebastianeeeeee,0,2020-06-27 02:02
https://weibo.cn//u/7030348378,肖兔兔要多笑,女,其他,130,52,2,回复@汽水要冰镇可乐:不是每个人都跟你一样善良，我没有否认你，我只是说有恶人存在而已，你也没必要那么大火气，希望你快乐,0,2020-06-17 00:01
https://weibo.cn//u/7030348378,肖兔兔要多笑,女,其他,130,52,2,回复@汽水要冰镇可乐:你要的证据你这楼多的是,0,2020-06-16 23:59
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3220305332,Doreen_00,女,北京,1016,163,63,最近的两例都好自觉，骑自行车去医院,3175,2020-06-12 16:32
