评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5550925777,浅夏阳光ai,女,天津,6764,994,2877,晚安民民,71,2020-06-15 23:30
https://weibo.cn//u/6517060003,肖战今天翻我牌了吗-,女,福建,8731,441,1230,晚安民民,36,2020-06-15 23:30
https://weibo.cn//u/6741937808,邮寄一颗糖蒜,女,河南,3350,218,12040,晚安，愿好梦。,23,2020-06-15 23:36
https://weibo.cn//u/5654095322,量身定做的星宝,女,山东,245,301,186,晚安,0,2020-06-16 23:45
https://weibo.cn//u/5983753247,vip雪域菩提,男,山东,4813,191,99,中午好,0,2020-06-16 13:55
https://weibo.cn//u/5818852332,一战CPA,女,广东,232,80,38,可是我在熬夜的路上，不可自拔，如何好呢,0,2020-06-16 12:53
https://weibo.cn//u/6327408673,护考小助手,女,北京,1143,42,157,你先睡吧，我熬到12点整,0,2020-06-16 10:23
https://weibo.cn//u/2939271853,阿迪丶吃货自然萌,女,陕西,1888,684,7256,早安民民,0,2020-06-16 09:36
https://weibo.cn//u/5853859701,全世界最嗨的糖,女,澳门,3799,62,335,民民早上好,0,2020-06-16 08:46
https://weibo.cn//u/7012066694,沙漠胡杨70707,男,北京,115,70,56,这个图是勤舔手。。。忒可爱,0,2020-06-16 08:16
https://weibo.cn//u/5183237668,后灼君不爱吃肉,女,其他,327,456,107,报告民民：本人没熬夜，坚持早睡早起,0,2020-06-16 07:56
https://weibo.cn//u/3607818610,Pisces晨曦,男,安徽,2618,198,125,其实吧，这个时候睡，已经算熬夜了,0,2020-06-16 07:44
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//mei4,再见理想1983,男,河北,1791,597,811,多发点儿补贴，整点儿实在的，同意的点赞！👍,891,2020-06-15 22:41
https://weibo.cn//u/6079587939,我是腻蝶,女,其他,25928,2189,2893,向医护人员致敬！你们辛苦了,153,2020-06-15 22:41
https://weibo.cn//u/5631534368,猪猪小兔子唯爱宁哥,男,河南,32720,792,950,辛苦了，白衣天使,64,2020-06-15 22:44
https://weibo.cn//u/5720376856,西宁特警大队qqq,男,青海,97,137,30,回复@·小兔啵丸·:为人民服务,1,2020-08-27 17:01
https://weibo.cn//u/6079587939,我是腻蝶,女,其他,25928,2189,2893,回复@西宁特警大队qqq:辛苦,1,2020-08-27 16:59
https://weibo.cn//u/5720376856,西宁特警大队qqq,男,青海,97,137,30,回复@·小兔啵丸·:为人民服务，没关系的,1,2020-08-27 16:51
https://weibo.cn//pengzhongyue,千里-城市pzy,男,广东,185,206,94,坦白说，我们为他们的行为感动之余是不是应该想想怎么减轻他们的工作难度，没有标准的室内场所，冰块有吧，难道我们真的穷到连这个都买不起、忙到连这些都做不到？他们也是人，地表40多度加上密不通风的防护服就是特警都受不了。除非真的条件所限，要不然能做到就希望我们的措施要全面啊。,0,2020-06-20 20:20
https://weibo.cn//u/6508003226,雪凝欢颜,女,云南,10,26,17,幸苦了,0,2020-06-18 13:09
https://weibo.cn//u/1663536603,翩翩小文子,女,北京,683,513,254,没想到就在上周每晚上遛弯的地儿，医务人员辛苦了！,0,2020-06-17 22:17
https://weibo.cn//u/1856625770,-陈小了个鸡-,女,浙江,1257,505,359,回复@城堡里的灰公主00:一看你说的话就是没什么脑子的，说话没逻辑，讲不出啥什么就剩瞎喷了，就你这样的比我强？,0,2020-06-17 18:02
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//pastandlost,避世村的维维安,女,其他,1673,220,2019,加油啊炸酱面,1701,2020-06-15 20:40
https://weibo.cn//u/1644657312,唯恕平情,女,湖北,3338,128,367,湖北武汉：凭健康绿码入汉，无需隔离,181,2020-06-15 20:49
https://weibo.cn//u/6746763595,大家开心2020,男,江苏,95,272,164,吴尊友先生不是说，目前来看还只是局部疫情，所以有些地区也没必要那么紧张，无需全部监管。,0,2020-10-14 11:25
https://weibo.cn//u/1278827101,liansen-chen,男,辽宁,422,624,132,回复@無喜的狂徒:有道理，简单有时能解决问题,0,2020-08-19 14:35
https://weibo.cn//u/1666951527,薇嘫纵枋,女,北京,12,143,141,回复@伟大而隐匿de女子:你才神经病！！！,0,2020-07-30 10:33
https://weibo.cn//sophy1115,戴钻石耳环的门外汉想买根雪糕,女,上海,5873,518,278,回复@薇嘫纵枋:看到你说话的都觉得你有神经。还反弹，神经病。,0,2020-07-28 18:53
https://weibo.cn//u/1666951527,薇嘫纵枋,女,北京,12,143,141,回复@伟大而隐匿de女子:“神经兮兮”反弹！反弹！反弹！有事说事，合理表达观点，人身攻击，没道理忍着你。,0,2020-07-28 14:47
https://weibo.cn//u/5661587928,云联惠用户开心海燕88306,男,其他,906,267,226,回复@避世村的维维安:加油！褡裢火烧,0,2020-07-25 21:54
https://weibo.cn//u/2013383027,蒙A娜娜,女,北京,41138,1225,779,回复@颖浯:算,0,2020-07-20 10:27
https://weibo.cn//u/7416956624,颖浯,男,广东,173,125,38,回复@蒙A娜娜:那对比这三个地方，都算是适当防控么？,0,2020-07-20 10:22
https://weibo.cn//u/2013383027,蒙A娜娜,女,北京,41138,1225,779,回复@颖浯:适当防控和一刀切的彻底封锁是两码事，新疆和武汉的措施也是不一样的。北京之前也不是彻底放开啥都不管的。跟人抬杠之前最好都了解清楚事实。,0,2020-07-20 10:08
https://weibo.cn//u/2013383027,蒙A娜娜,女,北京,41138,1225,779,回复@颖浯:你可真烦，这类问题我和其他人已经说过了，你有这闲工夫不如多看看别人说啥了,0,2020-07-20 10:06
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6575592664,SUM1005,女,湖北,2380,740,570,晚安呐,41,2020-06-14 23:31
https://weibo.cn//u/6517060003,肖战今天翻我牌了吗-,女,福建,8731,441,1230,晚安好梦,33,2020-06-14 23:31
https://weibo.cn//u/7310311659,烟勤话少脾气爆198512,男,其他,41,112,1,晚安,0,2020-06-16 00:20
https://weibo.cn//u/5392048213,萌萌摩羯狸,女,甘肃,384,284,120,晚安💤,0,2020-06-15 15:09
https://weibo.cn//u/6413461249,头像乖乖,男,北京,334,152,60,中午好！,0,2020-06-15 12:03
https://weibo.cn//u/5664395483,县直梦,男,河南,1840,75,230,转发微博,0,2020-06-15 09:01
https://weibo.cn//u/6989171841,Mathilda-QD,女,山东,60,177,24,晚安~,0,2020-06-15 08:49
https://weibo.cn//u/2772354191,Rae121,女,北京,1380,272,139,西站附近上班 家离长阳不远  太惨了吧 感觉到处都是潜在的危险,0,2020-06-15 08:39
https://weibo.cn//u/3154838700,galaxy的月球君,女,湖南,11075,423,1276,早,0,2020-06-15 08:29
https://weibo.cn//u/6806153726,XZLS9K9,男,重庆,46,19,187,。,0,2020-06-15 08:15
https://weibo.cn//u/6213207452,皇太后名曰残梦溪,女,广东,372,125,150,早呀,0,2020-06-15 08:14
https://weibo.cn//u/7360961918,lxy199126q,女,其他,5,9,2,早安呐,0,2020-06-15 07:51
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2178873290,青年湖南,男,湖南,30051,709,1239010,严防严控！,14,2020-06-14 11:20
https://weibo.cn//u/1005599381,中国时尚节拍,男,北京,8040,29,510,学校应该立即停课，特别是体育课,26,2020-06-14 11:30
https://weibo.cn//u/5084888202,袁来就是i你,男,湖北,8508,416,350,怎么都不准时啊，等了快半个小时,16,2020-06-14 11:23
https://weibo.cn//u/3040561485,触控ID33,女,海外,1687,1127,92,1,0,2020-06-15 00:03
https://weibo.cn//maxswelldone,宅女男神Max,男,海外,155,239,95,连发布会都不准时 那你说内容会有多准,0,2020-06-14 21:11
https://weibo.cn//u/6438931627,左翼忆洋,女,陕西,86,99,31,团结一致,0,2020-06-14 17:21
https://weibo.cn//u/5816982382,seven笑而不语1990,女,海外,717,1239,196,36分钟开始的,0,2020-06-14 16:31
https://weibo.cn//oezil,oezil厄齐尔,男,湖北,4469,927,439,李兰娟还不要求不惜一切代价封闭北京城？她不能双标啊,0,2020-06-14 16:17
https://weibo.cn//u/6618973220,林雨轩天,女,其他,0,86,5,同意停课，要防患于未然！不能事事都亡羊补牢！,0,2020-06-14 16:08
https://weibo.cn//u/2236113612,幸运de毛头,女,上海,1179,138,232,…,0,2020-06-14 15:50
https://weibo.cn//u/6674849861,连朱1988,女,福建,30658,212,218,严防严控 首都加油啊,0,2020-06-14 15:20
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/7415303648,钟敲桧杪风,女,福建,16,110,16,不相信中国相信谁,1399,2020-06-13 21:31
https://weibo.cn//u/2905455757,胡·蕊蕊HR,女,河北,2821,369,10811,相信北京，相信中国！,790,2020-06-13 21:31
https://weibo.cn//u/7187612970,岳麓熹,女,北京,1027,155,100,相信，我家离新发地2.5公里，确实紧张，但心里是不怕的，相信国家！,79,2020-06-13 21:47
https://weibo.cn//u/6531935182,wlyyt6151,男,甘肃,20,21,26,回复@hhjjjyyy_:为什么特殊时期不管控,0,2020-06-23 07:05
https://weibo.cn//u/1797739027,mm的加油,女,北京,1646,192,155,别的不说，我在北京我是希望能够查细一点的。我相信科学，相信祖国。,0,2020-06-20 07:27
https://weibo.cn//pingxsll,Ping_小时了了,男,海外,359,251,118,回复@lau_lz:哪里有保护措施？你没活在中国吗？中国这两个月现在是因为逼人戴口罩工作猝死了那么多人，因为肺炎危重症的都没几个，这措施还不够吗？,0,2020-06-19 16:50
https://weibo.cn//u/1407971773,lau_lz,女,山东,395,280,142,回复@Ping_小时了了:哪里有保护措施，美国和欧美那是保护措施么？当然你家父母老人不怕，但是对于中国人我我们都希望老人好点，而不是等死,0,2020-06-19 12:01
https://weibo.cn//u/6088349700,521梦花飞雪,女,山东,93,301,60,一直很相信,0,2020-06-18 10:38
https://weibo.cn//u/1778436442,二二二二银,女,湖南,767,290,161,     举报             赞[0]         回复             2020-06-17 14:31:29 来自网页,0,2020-06-17 14:31
https://weibo.cn//u/7314988107,对文星伊心动,女,广东,10592,1720,6,北京加油,0,2020-06-16 10:37
https://weibo.cn//u/6510360637,煎饼控股集团,女,其他,1010,242,379694,加油~~,0,2020-06-16 10:31
https://weibo.cn//u/6510360637,煎饼控股集团,女,其他,1010,242,379694,相信北京，相信中国,0,2020-06-16 10:31
https://weibo.cn//u/2387550223,我们都是qx,女,广东,959,692,769,这是除了共产主义我最相信的事情了。,0,2020-06-16 09:10
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6090375492,等晴乘风望世,女,北京,6414,541,1117,你干嘛用屁股怼我,51,2020-06-12 23:33
https://weibo.cn//u/6594001617,藏好你的翅膀ing,女,重庆,14975,390,3635,晚安啊民民,41,2020-06-12 23:33
https://weibo.cn//u/5311337945,·浅夏时光·,男,陕西,13052,565,11641,晚安，民民,23,2020-06-12 23:33
https://weibo.cn//u/5678136205,能熬夜的大白萝卜,男,其他,224,46,8,该休息了，晚安，中国！,1,2020-06-13 21:59
https://weibo.cn//u/7439666777,末温_asiwish,女,海外,1015,174,1,午安,0,2020-06-13 11:55
https://weibo.cn//u/6013555148,我爱我的叮当猫,女,其他,1018,62,158,这个胖胖臀部是扎了根树枝吗,0,2020-06-13 11:46
https://weibo.cn//u/6040432431,是七字小姐啊,女,江苏,1048,434,146,早安,0,2020-06-13 10:48
https://weibo.cn//u/5684897615,潇洒星儿_,男,北京,490,161,2000,晚安,0,2020-06-13 10:25
https://weibo.cn//u/2507088352,轻声漫语如梦令,男,海外,444,115,218,北京为啥就变成了新增6列了？,0,2020-06-13 10:10
https://weibo.cn//u/7417221673,换个昵称那么难啊,女,河南,46,44,1,早安😊,0,2020-06-13 09:23
https://weibo.cn//dersternenhimmel,小黑每天等太阳,男,海外,227,67,23,大家不喜欢这个屁股的话请夹给我 谢谢 ,1,2020-06-13 09:07
https://weibo.cn//u/6639947751,Suzanne加拿大,女,海外,7348,586,624,晚安民民,0,2020-06-13 07:48
