评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1866388322,快乐调查局,男,广东,46,45,239724,相信政府！！！,25,2020-06-15 23:40
https://weibo.cn//u/5105633606,一博放风筝,女,四川,9717,557,428,防控疫情人人有责，大家口罩别摘勤洗手出门少聚众，北京加油！！,14,2020-06-15 23:46
https://weibo.cn//u/6676366343,给自己和我加油吧,男,海外,3517,104,15,🙏🙏🙏,0,2020-06-17 22:07
https://weibo.cn//u/7398351947,月寒日暖来煎人寿solitude,女,北京,252,54,7,回复@老透明阿姨:这个人故意的，把他拉黑举报就好了。,0,2020-06-17 08:35
https://weibo.cn//xiaof666,夜雪沉沙,女,北京,282,307,240,回复@长脸想要饼子脸:这次的政策是精准防疫，我认为重视程度和一二月份还是没法比的。,0,2020-06-16 19:03
https://weibo.cn//mrmy9088,闽荣医疗,女,广东,6501,3677,852,#北京朝阳所有社区二级防控措施#,0,2020-06-16 16:02
https://weibo.cn//tallsutree,人生何必较真儿,男,北京,1009,612,945,朝阳和海淀都二级防控措施了，丰台还坚挺着呢,0,2020-06-16 13:17
https://weibo.cn//u/6062582732,w陈凤w,女,浙江,48,36,38,愿疫情早日结束,0,2020-06-16 12:00
https://weibo.cn//gxclovekg,长脸想要饼子脸,男,山东,101,147,67,回复@夜雪沉沙:相信政府还是很重视，但是民众就真的不说什么了,0,2020-06-16 11:34
https://weibo.cn//u/5653413939,D-Boy铁加曼,男,北京,169,51,93,测温枪其实挺不准的，经常34度35度，这都失温了呀,0,2020-06-16 11:05
https://weibo.cn//u/3962318135,dyhsm-,女,北京,136,470,96,回复@小杨先森0331:别理他，他应该不是武汉的。打着武汉的名义到处黑祖国的精分。sjb,0,2020-06-16 10:50
https://weibo.cn//u/5624689954,小杨先森0331,男,北京,181,378,101,回复@老透明阿姨:都是外地人往北京跑，你见过有多少北京人往外地跑的。,0,2020-06-16 10:35
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5550925777,浅夏阳光ai,女,天津,6763,994,2877,晚安民民,71,2020-06-15 23:30
https://weibo.cn//u/6517060003,肖战今天翻我牌了吗-,女,福建,8727,441,1230,晚安民民,36,2020-06-15 23:30
https://weibo.cn//u/6741937808,邮寄一颗糖蒜,女,河南,3350,218,12040,晚安，愿好梦。,23,2020-06-15 23:36
https://weibo.cn//u/5654095322,量身定做的星宝,女,山东,245,301,186,晚安,0,2020-06-16 23:45
https://weibo.cn//u/5983753247,vip雪域菩提,男,山东,4813,191,99,中午好,0,2020-06-16 13:55
https://weibo.cn//u/5818852332,一战CPA,女,广东,232,80,38,可是我在熬夜的路上，不可自拔，如何好呢,0,2020-06-16 12:53
https://weibo.cn//u/6327408673,护考小助手,女,北京,1143,42,157,你先睡吧，我熬到12点整,0,2020-06-16 10:23
https://weibo.cn//u/2939271853,阿迪丶吃货自然萌,女,陕西,1888,684,7256,早安民民,0,2020-06-16 09:36
https://weibo.cn//u/5853859701,全世界最嗨的糖,女,澳门,3799,62,335,民民早上好,0,2020-06-16 08:46
https://weibo.cn//u/7012066694,沙漠胡杨70707,男,北京,115,70,56,这个图是勤舔手。。。忒可爱,0,2020-06-16 08:16
https://weibo.cn//u/5183237668,后灼君不爱吃肉,女,其他,327,456,107,报告民民：本人没熬夜，坚持早睡早起,0,2020-06-16 07:56
https://weibo.cn//u/3607818610,Pisces晨曦,男,安徽,2617,204,125,其实吧，这个时候睡，已经算熬夜了,0,2020-06-16 07:44
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//thefirstdiors,鹊鸦,男,其他,2663,645,222459,请知情者主动上报 希望大家平安健康 再坚持坚持就都好了,133,2020-06-15 23:17
https://weibo.cn//u/1400175667,独坐桥头听水流,男,重庆,1025,142,193,机票实名制，应该方便联系上吧！？,54,2020-06-15 23:20
https://weibo.cn//208883967,那一年的梦想,男,海外,32302,420,964,又有过年时的感觉了,37,2020-06-15 23:18
https://weibo.cn//u/6385819128,顿悟1202,男,海南,3,32,704,回复@挂着耳机哼小调:是的,0,2020-06-17 14:04
https://weibo.cn//u/3877818300,挂着耳机哼小调,男,其他,107,76,38,回复@大彻大悟1202:您可别逗了。那是过年前唉，那个时间的火车票都是提前一个月抢的。,0,2020-06-17 13:27
https://weibo.cn//u/2178467132,冷月风花雪,女,其他,651,482,71,回复@大彻大悟1202:哟 带节奏不是您这个带法啊 武汉人乱跑啥啊 当初别人都是前期计划好 该回家回家 该探亲探亲 怎么到您这就乱跑了？北京这事和武汉就没关系 怎么也能扯到武汉 哪来的网特啊 这么能带节奏,0,2020-06-17 09:25
https://weibo.cn//u/3538297684,纷飞的绵绵雨,男,河南,42,131,305,回复@矩圆1:,0,2020-06-17 07:13
https://weibo.cn//u/5843519689,矩圆1,男,四川,38,66,55,回复@纷飞的绵绵雨:我没有子女和财产在欧美国家，不怕它们制裁，所以敢说真话,0,2020-06-16 21:39
https://weibo.cn//u/6385819128,顿悟1202,男,海南,3,32,704,回复@挂着耳机哼小调:一夜之间跑出去几十万，有数据可查的,0,2020-06-16 16:35
https://weibo.cn//u/6385819128,顿悟1202,男,海南,3,32,704,回复@裂宇流星:滚吧你,0,2020-06-16 16:33
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//mei4,再见理想1983,男,河北,1791,597,811,多发点儿补贴，整点儿实在的，同意的点赞！👍,891,2020-06-15 22:41
https://weibo.cn//u/6079587939,我是腻蝶,女,其他,25928,2189,2893,向医护人员致敬！你们辛苦了,153,2020-06-15 22:41
https://weibo.cn//u/5631534368,猪猪小兔子唯爱宁哥,男,河南,32720,792,950,辛苦了，白衣天使,64,2020-06-15 22:44
https://weibo.cn//u/5720376856,西宁特警大队qqq,男,青海,97,137,30,回复@·小兔啵丸·:为人民服务,1,2020-08-27 17:01
https://weibo.cn//u/6079587939,我是腻蝶,女,其他,25928,2189,2893,回复@西宁特警大队qqq:辛苦,1,2020-08-27 16:59
https://weibo.cn//u/5720376856,西宁特警大队qqq,男,青海,97,137,30,回复@·小兔啵丸·:为人民服务，没关系的,1,2020-08-27 16:51
https://weibo.cn//pengzhongyue,千里-城市pzy,男,广东,185,206,94,坦白说，我们为他们的行为感动之余是不是应该想想怎么减轻他们的工作难度，没有标准的室内场所，冰块有吧，难道我们真的穷到连这个都买不起、忙到连这些都做不到？他们也是人，地表40多度加上密不通风的防护服就是特警都受不了。除非真的条件所限，要不然能做到就希望我们的措施要全面啊。,0,2020-06-20 20:20
https://weibo.cn//u/6508003226,雪凝欢颜,女,云南,10,26,17,幸苦了,0,2020-06-18 13:09
https://weibo.cn//u/1663536603,翩翩小文子,女,北京,683,513,254,没想到就在上周每晚上遛弯的地儿，医务人员辛苦了！,0,2020-06-17 22:17
https://weibo.cn//u/1856625770,-陈小了个鸡-,女,浙江,1257,505,359,回复@城堡里的灰公主00:一看你说的话就是没什么脑子的，说话没逻辑，讲不出啥什么就剩瞎喷了，就你这样的比我强？,0,2020-06-17 18:02
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//coffeetea2010,呆呆_Fiona_Princess,女,海外,11867,274,1237,病例下面有密切接触者111人,72,2020-06-15 22:21
https://weibo.cn//u/7384787247,今天没打球-,男,其他,17,173,11560,密切接触111人，坐飞机回来的，航班上风险很大啊,40,2020-06-15 22:21
https://weibo.cn//u/2178873290,青年湖南,男,湖南,30046,709,1239005,严防严控！大家出门注意防护！,12,2020-06-15 22:23
https://weibo.cn//kai931104,李凱是誰,男,天津,2845,51,678,回复@阿欢咪呀:你妈又死了？？,0,2020-06-16 15:16
https://weibo.cn//u/1825333001,酸奶乔-,男,北京,355,118,349,回复@阿欢咪呀:不带脑子 张嘴就来？,0,2020-06-16 12:12
https://weibo.cn//u/7453519948,八益品牌,男,四川,103,66,57,疫情二次回暖 大家一定注意防范,1,2020-06-16 10:21
